Epoch: 0 | mean loss: -25.23401 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 1 | mean loss: -270.79739 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 2 | mean loss: -498.48923 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 3 | mean loss: -730.44305 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 4 | mean loss: -964.45941 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 5 | mean loss: -1196.10266 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 6 | mean loss: -1430.56995 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 7 | mean loss: -1662.27258 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 8 | mean loss: -1893.62988 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 9 | mean loss: -2129.32959 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 10 | mean loss: -2363.84717 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 11 | mean loss: -2594.30298 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 12 | mean loss: -2827.67896 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 13 | mean loss: -3060.27441 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 14 | mean loss: -3295.61694 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 15 | mean loss: -3530.61523 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 16 | mean loss: -3767.27417 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 17 | mean loss: -3995.53320 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 18 | mean loss: -4227.03711 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 19 | mean loss: -4468.64941 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 20 | mean loss: -4705.47412 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 21 | mean loss: -4936.42529 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 22 | mean loss: -5172.57764 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 23 | mean loss: -5406.64551 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 24 | mean loss: -5640.03125 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 25 | mean loss: -5878.26221 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 26 | mean loss: -6108.78857 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 27 | mean loss: -6345.58350 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
