Epoch: 0 | mean loss: -163.18158 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 1 | mean loss: -384.82611 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 2 | mean loss: -616.77142 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 3 | mean loss: -843.52069 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 4 | mean loss: -1073.97375 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 5 | mean loss: -1311.23657 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 6 | mean loss: -1527.24866 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 7 | mean loss: -1772.35889 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 8 | mean loss: -2008.61230 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 9 | mean loss: -2243.26172 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 10 | mean loss: -2456.17407 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 11 | mean loss: -2708.13477 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 12 | mean loss: -2919.52808 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 13 | mean loss: -3166.52563 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 14 | mean loss: -3402.29858 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 15 | mean loss: -3636.35938 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 16 | mean loss: -3864.48999 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 17 | mean loss: -4103.93652 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 18 | mean loss: -4337.80225 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 19 | mean loss: -4570.55420 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 20 | mean loss: -4803.70752 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 21 | mean loss: -5031.46387 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 22 | mean loss: -5273.02295 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 23 | mean loss: -5506.91260 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 24 | mean loss: -5739.17236 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 25 | mean loss: -5979.92236 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 26 | mean loss: -6212.68750 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 27 | mean loss: -6446.61133 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 28 | mean loss: -6676.58984 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 29 | mean loss: -6912.02100 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 30 | mean loss: -7137.79736 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 31 | mean loss: -7387.08545 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 32 | mean loss: -7619.89258 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 33 | mean loss: -7848.97607 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 34 | mean loss: -8077.27832 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 35 | mean loss: -8311.21973 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 36 | mean loss: -8544.73242 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 37 | mean loss: -8784.21484 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 38 | mean loss: -9009.08105 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 39 | mean loss: -9251.88574 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 40 | mean loss: -9484.41992 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 41 | mean loss: -9708.48145 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 42 | mean loss: -9935.19629 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 43 | mean loss: -10145.14844 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 44 | mean loss: -10424.42188 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 45 | mean loss: -10642.75586 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 46 | mean loss: -10891.91797 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 47 | mean loss: -11103.40918 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 48 | mean loss: -11344.11719 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 49 | mean loss: -11594.85645 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 50 | mean loss: -11819.41016 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 51 | mean loss: -12033.91895 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 52 | mean loss: -12270.85059 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 53 | mean loss: -12496.41699 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 54 | mean loss: -12740.18652 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 55 | mean loss: -12988.78906 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 56 | mean loss: -13212.42578 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 57 | mean loss: -13432.00879 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 58 | mean loss: -13665.22461 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 59 | mean loss: -13909.27344 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 60 | mean loss: -14122.55371 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 61 | mean loss: -14380.58398 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 62 | mean loss: -14617.09570 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
Epoch: 63 | mean loss: -14841.20020 | total acc: 1.00000 | total recall: 1.00000 | total f1 scroe: 1.00000
